Code,Name,Description
ANTH100,Basic Archaeological Concepts,"A survey of important archaeological methods of excavation, analysis, and interpretation. Focus will be on the problems and promise of various approaches to the explanation of past human behavior."
ANTH102,Activist Anthropology,"Activist scholarship seeks to combine rigorous research and political commitment to achieve empirical and theoretical understanding of social processes. While open access to information has democratized knowledge production, academic work is still ne..."
ANTH103,Human-Wildlife Interactions,"Survey of human-wildlife interactions (e.g., bushmeat, pet trade, crop-raiding). Students examine cascading effects on wildlife, landscapes, and human populations, as well as mitigating approaches relating to our changing perceptions of wildlife and..."
ANTH104,Risk & Inequality,"Examines risk and perception in relation to environmental and health inequality within larger political, social and cultural frameworks across the globe."
ANTH105,Human Variation,An examination of traditional race concepts contrasted with an approach to human variation through the analysis of biologically adaptive traits.
ANTH107,Psychological Anthropology,"Field from Freud and Mead to present; how human nature (universal psychological mechanisms) and culture interact to form individual psychologies, identities, genders, social attitudes, worldviews, and traditions; how cognitive development shapes beli..."
ANTH108,Educating the Native,"We look at different educational projects, such as Indian boarding Schools, English-only laws, the ""indirect rule"" of the British colonies. We address the not-always-clear line between education as a form of social control or as a form of liberation."
ANTH109,Human Universals,"A critical overview of those characteristics of human psyche, behavior, society, and culture that are allegedly found among all peoples: the constants of human nature."
ANTH110,Science Technology and Society,"This sociocultural anthropology course introduces the field of science and technology studies (STS) through an anthropological lens. Topics include history of STS; science communication & public engagement; gender, race & science/feminist STS; embedd..."
ANTH111,The Anthropology of Food,"Critical survey of different anthropological approaches to food production and consumption. Topics may include relations between agricultural forms and political systems; the meanings of feasting; cooking; class, race, and gender; food and national i..."
ANTH112,Bioarchaeology,"A survey of research in the field of bioarchaeology including studies of paleodemography, paleopathology and their relevance to testing about the biological and cultural adaptations of earlier human populations and interpreting behavior from the huma..."
ANTH112Z,Theoretical Approaches in Contemporary Archaeology,"A survey of the history of archaeological theory, and an overview of major theoretical approaches and applications in contemporary archaeology. The course demonstrates how theory serves as a guide to research and to the interpretation of archaeologic..."
ANTH113,Indigenous People and the Nation State in the Americas,"The changing relationship between indigenous people and the state. Compare the differences and similarities between indigenous peoples' mobilizations in the cases of Canada, USA, Ecuador, Chile, Guatemala, Bolivia and Mexico."
ANTH115,"Language, Culture, and Place","Focuses on the dialectical interplay between humans and the environment and how people use language to classify, make sense of, and attribute moral and symbolic meaning to places and landscapes."
ANTH116A,"Myth, Ritual and Symbol","Uses ethnographic case studies, films and performance videos to explore myth, ritual, and symbolism cross-culturally. Compares and contrasts the symbolic dimensions of gender and ethnic identity, world view, social and political organization and chan..."
ANTH116B,Anthropological Approaches to Religion,"Exploration of anthropology's distinctive approaches to religion using theoretical works, historical and ethnographic case studies, film, and performance video. Topics include sociopolitical dimensions of religion; ritual structure, and experience; c..."
ANTH116C,Anthropology of Religion Practicum,"In this course, students acquire basic methodological skills in cultural anthropology by carrying out ethnographic field research with local religious communities."
ANTH117,Borders and Borderlands,"The theoretical concept of ""borderlands"" examined through a discussion of the societies, economics and cultures that form on geopolitical borders. The Mexico-U.S. border will be discussed in detail."
ANTH118,Archaeological Biogeochemistry,"Introduces stable isotope biogeochemistry and XRF compositional analysis and their application to ancient and modern humans, faunal bones and teeth. Corresponding lab sections will teach sample preparation and hypothesis building to reconstruct aspec..."
ANTH118TS,Archaeology of the Ancient Near East,"This course combines archaeology and history to trace the development of the cultures of the ancient Near East from the origins of civilization through the rise of empires, ending with the conquest of Alexander the Great in c. 300 BCE."
